"id","latitude","longitude","elevation","state","name","gsn_flag","hcn_crn_flag","wmoid","geopoint"
US1LAJF0014,30.0142,-90.1343,0,LA,METAIRIE 2.8 ENE              ,   ,   ,,POINT(-90.1343 30.0142)
US1LAOR0012,30.0194,-90.0687,0,LA,NEW ORLEANS 4.8 N             ,   ,   ,,POINT(-90.0687 30.0194)
USC00166676,29.9347,-90.1361,0,LA,NEW ORLEANS CARROLLTON        ,   ,   ,,POINT(-90.1361 29.9347)
USC00166157,29.9903,-90.1431,0,LA,METAIRIE                      ,   ,   ,,POINT(-90.1431 29.9903)
USC00166671,29.9333,-90.1,0,LA,NEW ORLEANS JEFFERSON         ,   ,   ,,POINT(-90.1 29.9333)
USC00165980,30.3,-90.65,0,LA,MAUREPAS                      ,   ,   ,,POINT(-90.65 30.3)
US1LAJF0009,30.0319,-90.2213,0,LA,METAIRIE 3.5 NW               ,   ,   ,,POINT(-90.2213 30.0319)
US1LAJF0003,30.0182,-90.1941,0,LA,METAIRIE 1.7 NW               ,   ,   ,,POINT(-90.1941 30.0182)
USC00167427,30.05,-89.6167,0,LA,PONTCHARTRAIN GROVE           ,   ,   ,,POINT(-89.6167 30.05)
USC00166679,29.9833,-90.1167,0,LA,NEW ORLEANS DPS #6            ,   ,   ,,POINT(-90.1167 29.9833)
US1LALF0002,29.7056,-90.6224,0,LA,RACELAND 1.8 WSW              ,   ,   ,,POINT(-90.6224 29.7056)
USC00161639,29.9664,-89.9761,0,LA,CHALMETTE                     ,   ,   ,,POINT(-89.9761 29.9664)
USC00163681,29.3833,-90.2667,0,LA,GOLDEN MEADOW                 ,   ,   ,,POINT(-90.2667 29.3833)
US1LAJF0013,29.9865,-90.1547,0,LA,METAIRIE 1.6 ESE              ,   ,   ,,POINT(-90.1547 29.9865)
USC00167388,29.3667,-91.3833,0,LA,POINT AU FER REEF LH          ,   ,   ,,POINT(-91.3833 29.3667)
US1LAJF0006,29.8807,-90.0837,0,LA,MARRERO 1.9 E                 ,   ,   ,,POINT(-90.0837 29.8807)
USC00161929,29.2667,-90.65,3,LA,COCODRIE                      ,   ,   ,,POINT(-90.65 29.2667)
USC00167471,29.4833,-89.7,3,LA,PORT SULPHUR                  ,   ,   ,,POINT(-89.7 29.4833)
USC00166818,30.35,-90.0167,3,LA,NOTT FIRE TWR                 ,   ,   ,,POINT(-90.0167 30.35)
USC00166794,30.55,-90.75,3,LA,NORTH LIVINGSTON              ,   ,   ,,POINT(-90.75 30.55)
USC00167457,29.0167,-89.1667,3,LA,PORT EADS                     ,   ,   ,,POINT(-89.1667 29.0167)
USC00169378,29.9167,-89.9,3,LA,VIOLET                        ,   ,   ,,POINT(-89.9 29.9167)
USC00162330,29.2167,-89.2667,3,LA,DELTA BREPON WLD RFG          ,   ,   ,,POINT(-89.2667 29.2167)
USC00168941,29.91,-90.0342,3,LA,TERRYTOWN 3S                  ,   ,   ,,POINT(-90.0342 29.91)
USC00163345,30.3,-90.8,3,LA,FRENCH SETTLEMENT             ,   ,   ,,POINT(-90.8 30.3)
USC00161601,29.8667,-92.85,3,LA,CATFISH POINT                 ,   ,   ,,POINT(-92.85 29.8667)
USC00169319,29.7833,-92.2,3,LA,VERMILION LOCK                ,   ,   ,,POINT(-92.2 29.7833)
US1LAAP0001,29.8348,-90.9629,3,LA,LABADIEVILLE 0.9 NNW          ,   ,   ,,POINT(-90.9629 29.8348)
USC00164878,30.3728,-90.5506,3,LA,KILLIAN                       ,   ,   ,,POINT(-90.5506 30.3728)
US1LAST0023,30.3001,-89.7592,3,LA,SLIDELL 1.7 NE                ,   ,   ,,POINT(-89.7592 30.3001)
US1LAJB0002,30.069,-90.5574,3,LA,RESERVE 0.5 SSE               ,   ,   ,,POINT(-90.5574 30.069)
US1LAAS0007,30.2706,-90.9274,3,LA,GONZALES 3.7 N                ,   ,   ,,POINT(-90.9274 30.2706)
USC00168539,30.265,-89.7697,3,LA,SLIDELL                       ,   ,   ,,POINT(-89.7697 30.265)
USC00163562,29.7,-90.4667,3,LA,GHEENS                        ,   ,   ,,POINT(-90.4667 29.7)
USC00166675,29.9833,-90.0667,3,LA,NEW ORLEANS D P S 3           ,   ,   ,,POINT(-90.0667 29.9833)
USC00164410,29.5833,-90.7333,3,LA,HOUMA 2                       ,   ,   ,,POINT(-90.7333 29.5833)
USC00163798,29.7667,-92.95,3,LA,GRAND CHENIER                 ,   ,   ,,POINT(-92.95 29.7667)
USC00167572,29.2167,-89.2667,3,LA,QUARANTINE                    ,   ,   ,,POINT(-89.2667 29.2167)
USC00167519,30.2,-89.7333,3,LA,PREVOST ISLAND                ,   ,   ,,POINT(-89.7333 30.2)
USC00161425,29.75,-93.3333,3,LA,CAMERON                       ,   ,   ,,POINT(-93.3333 29.75)
USC00168598,30.1667,-91.35,3,LA,SORREL                        ,   ,   ,,POINT(-91.35 30.1667)
US1LAOR0003,29.9195,-90.1185,3,LA,NEW ORLEANS 3.6 SW            ,   ,   ,,POINT(-90.1185 29.9195)
USC00160007,29.9689,-92.1169,3,LA,ABBEVILLE                     ,   ,   ,,POINT(-92.1169 29.9689)
USC00163930,29.95,-92.5167,3,LA,GUEYDAN 5 S                   ,   ,   ,,POINT(-92.5167 29.95)
USC00165072,30.3014,-93.2689,3,LA,LAKE CHARLES 7 NW             ,   ,   ,,POINT(-93.2689 30.3014)
USC00163695,30.2033,-90.9225,3,LA,GONZALES                      ,   ,   ,,POINT(-90.9225 30.2033)
USC00168612,29.95,-90.15,3,LA,SOUTHERN UNIV FARM            ,   ,   ,,POINT(-90.15 29.95)
USC00165207,29.55,-89.8,3,LA,LAWRENCE                      ,   ,   ,,POINT(-89.8 29.55)
USC00166672,29.9833,-90.0167,3,LA,NEW ORLEANS D P S 5           ,   ,   ,,POINT(-90.0167 29.9833)
USC00168831,30.2383,-93.3447,3,LA,SULPHUR                       ,   ,   ,,POINT(-93.3447 30.2383)
US1LAST0006,30.3019,-89.7496,4,LA,SLIDELL 2.2 NE                ,   ,   ,,POINT(-89.7496 30.3019)
US1LACC0023,30.1901,-93.2222,4,LA,LAKE CHARLES 1.8 SW           ,   ,   ,,POINT(-93.2222 30.1901)
USW00093906,30.0333,-90.0833,4,LA,NEW ORLEANS NAS               ,   ,   ,,POINT(-90.0833 30.0333)
US1LACC0017,30.2308,-93.2109,4,LA,LAKE CHARLES 1.5 NNW          ,   ,   ,,POINT(-93.2109 30.2308)
USW00012863,28.9667,-89.3833,4,LA,BURRWOOD WB                   ,   ,   ,,POINT(-89.3833 28.9667)
USW00012927,29.5664,-90.6603,4,LA,HOUMA TERREBONNE AP           ,   ,   ,,POINT(-90.6603 29.5664)
US1LATG0012,30.4311,-90.4518,4,LA,PONCHATOULA 0.7 SW            ,   ,   ,,POINT(-90.4518 30.4311)
USC00167160,30.385,-89.7367,4,LA,PEARL RIVER                   ,   ,   ,,POINT(-89.7367 30.385)
US1LACC0005,30.2545,-93.2694,4,LA,WESTLAKE 0.7 WNW              ,   ,   ,,POINT(-93.2694 30.2545)
USW00003937,30.125,-93.2158,4,LA,LAKE CHARLES                  ,   ,   ,72240,POINT(-93.2158 30.125)
US1LACC0018,30.1842,-93.2011,4,LA,LAKE CHARLES 1.8 S            ,   ,   ,,POINT(-93.2011 30.1842)
US1LAST0008,30.3282,-89.9313,5.5,LA,LACOMBE 1.4 N                 ,   ,   ,,POINT(-89.9313 30.3282)
US1LATG0015,30.4555,-90.5018,5.5,LA,HAMMOND 4.4 SW                ,   ,   ,,POINT(-90.5018 30.4555)
USC00162688,30.2508,-90.9872,5.5,LA,DUTCHTOWN #2                  ,   ,   ,,POINT(-90.9872 30.2508)
US1LAST0013,30.4355,-90.1891,5.5,LA,MADISONVILLE 3.2 NNW          ,   ,   ,,POINT(-90.1891 30.4355)
US1LALY0007,30.3357,-91.9781,5.5,LA,CARENCRO 3.9 ENE              ,   ,   ,,POINT(-91.9781 30.3357)
US1LACC0021,30.1626,-93.1761,5.5,LA,LAKE CHARLES 3.7 SSE          ,   ,   ,,POINT(-93.1761 30.1626)
US1LAEB0021,30.3781,-91.018,7,LA,OLD JEFFERSON 0.9 W           ,   ,   ,,POINT(-91.018 30.3781)
US1LAST0020,30.3426,-89.7493,7,LA,PEARL RIVER 2.0 S             ,   ,   ,,POINT(-89.7493 30.3426)
USC00165266,31.1417,-93.2397,8.5,LA,LEESVILLE                     ,   ,   ,,POINT(-93.2397 31.1417)
US1LAEB0036,30.4028,-91.0134,11,LA,SHENANDOAH 0.8 W              ,   ,   ,,POINT(-91.0134 30.4028)
US1LAST0027,30.5237,-90.11,12.5,LA,COVINGTON 3.1 N               ,   ,   ,,POINT(-90.11 30.5237)
US1LAEB0047,30.3818,-91.1373,12.5,LA,BATON ROUGE 5.3 S             ,   ,   ,,POINT(-91.1373 30.3818)
US1LAEB0046,30.4421,-91.149,14,LA,BATON ROUGE 1.4 WSW           ,   ,   ,,POINT(-91.149 30.4421)
US1LALY0004,30.3341,-92.0272,14,LA,CARENCRO 1.7 NNE              ,   ,   ,,POINT(-92.0272 30.3341)
US1LALV0010,30.5602,-90.9518,18,LA,WATSON 1.1 S                  ,   ,   ,,POINT(-90.9518 30.5602)
US1LAEB0064,30.5503,-90.9946,18,LA,GREENWELL SPRINGS 2.2 S       ,   ,   ,,POINT(-90.9946 30.5503)
USC00168137,30.7167,-91.3,18,LA,ST FRANCISVILLE 6 S           ,   ,   ,,POINT(-91.3 30.7167)
USC00165852,30.5667,-92.4333,18,LA,MAMOU 4 S                     ,   ,   ,,POINT(-92.4333 30.5667)
USC00164100,31.7833,-91.8167,18,LA,HARRISONBURG LOCK 2           ,   ,   ,,POINT(-91.8167 31.7833)
US1LAEB0014,30.4393,-91.0685,18,LA,BATON ROUGE 3.5 E             ,   ,   ,,POINT(-91.0685 30.4393)
US1LARP0001,31.0956,-92.3598,18,LA,LECOMPTE 2.3 ENE              ,   ,   ,,POINT(-92.3598 31.0956)
US1LAEB0019,30.5096,-91.0016,18,LA,MONTICELLO 3.0 ENE            ,   ,   ,,POINT(-91.0016 30.5096)
USC00161969,32.1333,-92.0833,18,LA,COLUMBIA 2 N                  ,   ,   ,,POINT(-92.0833 32.1333)
USC00161729,31.0167,-92.2833,18,LA,CHENEYVILLE 1 NE              ,   ,   ,,POINT(-92.2833 31.0167)
US1LALV0011,30.555,-90.752,18,LA,LIVINGSTON 3.7 N              ,   ,   ,,POINT(-90.752 30.555)
USC00167001,30.55,-92.0833,21,LA,OPELOUSAS AP                  ,   ,   ,,POINT(-92.0833 30.55)
USC00169860,31.1333,-92.45,21,LA,WOODWORTH 3 ESE               ,   ,   ,,POINT(-92.45 31.1333)
US1LALV0004,30.5241,-90.9127,21,LA,DENHAM SPRINGS 4.1 NE         ,   ,   ,,POINT(-90.9127 30.5241)
US1LAOC0014,32.4693,-92.0623,21,LA,MONROE 3.2 SSE                ,   ,   ,,POINT(-92.0623 32.4693)
US1LAEB0002,30.4218,-91.1576,21,LA,BATON ROUGE 2.7 SW            ,   ,   ,,POINT(-91.1576 30.4218)
USC00164734,31.6833,-91.8333,21,LA,JONESVILLE 4 N                ,   ,   ,,POINT(-91.8333 31.6833)
USC00164209,31.4333,-92.2333,21,LA,HICKORY GROVE                 ,   ,   ,,POINT(-92.2333 31.4333)
USC00164785,29.8833,-92.2667,21,LA,KAPLIN 8 S                    ,   ,   ,,POINT(-92.2667 29.8833)
USC00165156,31.75,-91.4,21,LA,L ARGENT                      ,   ,   ,,POINT(-91.4 31.75)
USC00161979,32.1672,-92.1078,25,LA,COLUMBIA LOCK                 ,   ,   ,,POINT(-92.1078 32.1672)
US1LAAV0005,31.1282,-92.0793,25,LA,FSA-MARKSVILLE 1.0 W          ,   ,   ,,POINT(-92.0793 31.1282)
US1LAOC0023,32.5447,-91.9982,25,LA,MONROE 5.5 ENE                ,   ,   ,,POINT(-91.9982 32.5447)
US1LAEB0027,30.4507,-91.0843,25,LA,BATON ROUGE 2.5 E             ,   ,   ,,POINT(-91.0843 30.4507)
US1LAOC0010,32.4896,-92.2486,25,LA,WEST MONROE 6.1 WSW           ,   ,   ,,POINT(-92.2486 32.4896)
USC00166868,32.6228,-91.7764,25,LA,OAK RIDGE                     ,   ,   ,,POINT(-91.7764 32.6228)
US1LARC0002,32.4812,-91.8009,25,LA,RAYVILLE 2.6 WNW              ,   ,   ,,POINT(-91.8009 32.4812)
US1LAEB0006,30.6184,-91.0759,28,LA,ZACHARY 5.5 ESE               ,   ,   ,,POINT(-91.0759 30.6184)
US1LAGR0003,31.5989,-92.7837,29,LA,COLFAX 7.2 NW                 ,   ,   ,,POINT(-92.7837 31.5989)
US1LAOC0032,32.6228,-92.0039,29,LA,MONROE 9.0 NNE                ,   ,   ,,POINT(-92.0039 32.6228)
USC00162641,30.7414,-93.1386,29,LA,DRY CREEK 8NW                 ,   ,   ,,POINT(-93.1386 30.7414)
USC00160617,30.7925,-92.4953,32,LA,BEAVER FIRE TWR               ,   ,   ,,POINT(-92.4953 30.7925)
US1LAEB0009,30.6069,-91.0533,32,LA,BROWNFIELDS 5.8 NE            ,   ,   ,,POINT(-91.0533 30.6069)
