GEOID,NAME,percent_nonwhite,percent_pov,nonwhite_text,pov_text
220710142003,"Block Group 3, Census Tract 142, Orleans Parish, Louisiana",29.000000000000004,16.0,29%,16%
220710117001,"Block Group 1, Census Tract 117, Orleans Parish, Louisiana",4.0000000000000036,8.0,4%,8%
220710065001,"Block Group 1, Census Tract 65, Orleans Parish, Louisiana",46.0,34.0,46%,34%
220710056023,"Block Group 3, Census Tract 56.02, Orleans Parish, Louisiana",12.0,7.000000000000001,12%,7%
220710091002,"Block Group 2, Census Tract 91, Orleans Parish, Louisiana",52.0,2.0,52%,2%
220710025042,"Block Group 2, Census Tract 25.04, Orleans Parish, Louisiana",75.0,12.0,75%,12%
220710023001,"Block Group 1, Census Tract 23, Orleans Parish, Louisiana",100.0,50.0,100%,50%
220710006053,"Block Group 3, Census Tract 6.05, Orleans Parish, Louisiana",65.0,19.0,65%,19%
220710131004,"Block Group 4, Census Tract 131, Orleans Parish, Louisiana",75.0,17.0,75%,17%
220710017452,"Block Group 2, Census Tract 17.45, Orleans Parish, Louisiana",95.0,30.0,95%,30%
220710119003,"Block Group 3, Census Tract 119, Orleans Parish, Louisiana",31.999999999999996,46.0,31%,46%
220710134003,"Block Group 3, Census Tract 134, Orleans Parish, Louisiana",41.0,16.0,41%,16%
220710090001,"Block Group 1, Census Tract 90, Orleans Parish, Louisiana",2.0000000000000018,2.0,2%,2%
220710092002,"Block Group 2, Census Tract 92, Orleans Parish, Louisiana",85.0,23.0,85%,23%
220710014014,"Block Group 4, Census Tract 14.01, Orleans Parish, Louisiana",98.0,17.0,98%,17%
220710037025,"Block Group 5, Census Tract 37.02, Orleans Parish, Louisiana",27.0,16.0,27%,16%
220710048001,"Block Group 1, Census Tract 48, Orleans Parish, Louisiana",97.0,66.0,97%,66%
220710123001,"Block Group 1, Census Tract 123, Orleans Parish, Louisiana",85.0,30.0,85%,30%
220710017254,"Block Group 4, Census Tract 17.25, Orleans Parish, Louisiana",97.0,21.0,97%,21%
220710076041,"Block Group 1, Census Tract 76.04, Orleans Parish, Louisiana",5.000000000000004,0.0,5%,0%
220710075011,"Block Group 1, Census Tract 75.01, Orleans Parish, Louisiana",83.0,23.0,83%,23%
220710121021,"Block Group 1, Census Tract 121.02, Orleans Parish, Louisiana",30.000000000000004,42.0,30%,42%
220710112001,"Block Group 1, Census Tract 112, Orleans Parish, Louisiana",31.999999999999996,14.000000000000002,31%,14%
220710025033,"Block Group 3, Census Tract 25.03, Orleans Parish, Louisiana",67.0,10.0,67%,10%
220710091003,"Block Group 3, Census Tract 91, Orleans Parish, Louisiana",79.0,8.0,79%,8%
220710025021,"Block Group 1, Census Tract 25.02, Orleans Parish, Louisiana",97.0,12.0,97%,12%
220710094001,"Block Group 1, Census Tract 94, Orleans Parish, Louisiana",83.0,54.0,83%,54%
220710106001,"Block Group 1, Census Tract 106, Orleans Parish, Louisiana",36.0,11.0,36%,11%
220710014011,"Block Group 1, Census Tract 14.01, Orleans Parish, Louisiana",96.0,19.0,96%,19%
220710004001,"Block Group 1, Census Tract 4, Orleans Parish, Louisiana",72.0,2.0,72%,2%
220710108002,"Block Group 2, Census Tract 108, Orleans Parish, Louisiana",7.9999999999999964,9.0,7%,9%
220710125002,"Block Group 2, Census Tract 125, Orleans Parish, Louisiana",32.99999999999999,20.0,32%,20%
220710037026,"Block Group 6, Census Tract 37.02, Orleans Parish, Louisiana",18.999999999999993,6.0,18%,6%
