address,garden_area,station_id,daily_avg,monthly_avg,yearly_avg,lat,lon,daily_gallons,monthly_gallons,yearly_gallons
8500 Dixon Street,2223,USC00166679,0.17,5.0,59.0,29.97134184,-90.11320233,235.0,6925.0,81711.0
9005 Olive Street,3600,USC00166679,0.17,5.0,59.0,29.97015678,-90.12029635,381.0,11214.0,132325.0
8729-8731 Olive Street,3600,USC00166679,0.17,5.0,59.0,29.96933254,-90.11770937,381.0,11214.0,132325.0
9325 Forshey Street,3360,USC00166679,0.17,5.0,59.0,29.97277845,-90.1234074,356.0,10466.0,123504.0
9000 Oleander Street,4838,USC00166679,0.17,5.0,59.0,29.96950001,-90.12169203,512.0,15070.0,177830.0
3304 Monroe Street,7550,USC00166679,0.17,5.0,59.0,29.96780093,-90.11839539,800.0,23518.0,277515.0
3210 Delachaise St,5911,USC00166671,0.17,5.0,61.0,29.94454569,-90.09906297,626.0,18413.0,224636.0
2525 S Johnson St,3000,USC00166659,0.18,5.0,63.0,29.94864837,-90.0944039,336.0,9345.0,117747.0
3609 First St.,2400,USC00166659,0.18,5.0,63.0,29.94962395,-90.09485761,269.0,7476.0,94198.0
3317 Fourth St,3360,USC00166659,0.18,5.0,63.0,29.94667536,-90.09553265,377.0,10466.0,131877.0
3926 Second St,4205,USC00166659,0.18,5.0,63.0,29.95194615,-90.09783535,472.0,13099.0,165042.0
2814 S. Johnson St.,1830,USC00166659,0.18,5.0,63.0,29.94602569,-90.09694539,205.0,5700.0,71826.0
2616 S. Johnson,1830,USC00166659,0.18,5.0,63.0,29.94686379,-90.09572304,205.0,5700.0,71826.0
60 Morrison Ct.,5038,USC00166678,0.17,5.0,54.0,30.03757207,-89.99560789,534.0,15693.0,169488.0
4716-18 Rosemont,5282,USC00166678,0.17,5.0,54.0,30.01960145,-90.00060434,559.0,16453.0,177697.0
4749-61 Rosemont,6832,USC00166678,0.17,5.0,54.0,30.02018453,-90.00021877,724.0,21282.0,229842.0
4737 Virgilian,5590,USC00166678,0.17,5.0,54.0,30.01700425,-90.01675034,592.0,17413.0,188059.0
5130 Pauline,5000,USC00166678,0.17,5.0,54.0,30.01517349,-90.03258166,530.0,15575.0,168210.0
1653-59 N. Broad,11520,US1LAOR0016,0.56,4.0,29.0,29.98170197,-90.0750384,4019.0,28708.0,208132.0
2609 Onzaga St.,1568,US1LAOR0016,0.56,4.0,29.0,29.98142908,-90.07476445,547.0,3907.0,28329.0
1813-15 Dumaine St.,3850,US1LAOR0016,0.56,4.0,29.0,29.96749422,-90.07307635,1343.0,9594.0,69558.0
1811 Dumaine St.,1980,US1LAOR0016,0.56,4.0,29.0,29.96760903,-90.07292672,691.0,4934.0,35773.0
4119 N Johnson,5100,USC00166672,0.17,5.0,60.0,29.97578194,-90.03116748,540.0,15886.0,190638.0
2439 Congress,3600,USC00166672,0.17,5.0,60.0,29.98181902,-90.03424995,381.0,11214.0,134568.0
2542 Benton,2380,USC00166672,0.17,5.0,60.0,29.97658753,-90.00645375,252.0,7414.0,88964.0
5842 Whipple,5313,USC00166672,0.17,5.0,60.0,29.97654404,-90.00767042,563.0,16550.0,198600.0
5812 Whipple,2310,USC00166672,0.17,5.0,60.0,29.97671618,-90.00788435,245.0,7196.0,86348.0
5843 N Dorgenois,2310,USC00166672,0.17,5.0,60.0,29.97634799,-90.00762646,245.0,7196.0,86348.0
1750 Tennessee,5160,USC00166672,0.17,5.0,60.0,29.97097474,-90.02074899,546.0,16073.0,192881.0
1752 Tennessee,3600,USC00166672,0.17,5.0,60.0,29.97101309,-90.02074185,381.0,11214.0,134568.0
1901 Caffin Ave,3875,USC00166672,0.17,5.0,60.0,29.97084767,-90.0129379,410.0,12071.0,144848.0
2639 Caffin Ave.,3875,USC00166672,0.17,5.0,60.0,29.97862216,-90.01011514,410.0,12071.0,144848.0
2640 Lamanche St.,3875,USC00166672,0.17,5.0,60.0,29.97885956,-90.01006112,410.0,12071.0,144848.0
1509 Gallier,5520,US1LAOR0006,0.19,5.0,47.0,29.97193144,-90.03794442,653.0,17195.0,161631.0
822 Bartholomew,4681,US1LAOR0006,0.19,5.0,47.0,29.96408857,-90.03663554,554.0,14581.0,137064.0
4817 Dauphine St.,4200,US1LAOR0006,0.19,5.0,47.0,29.96159024,-90.02580293,497.0,13083.0,122980.0
1314 Elysian Fields Avenue,2163,USC00166675,0.16,5.0,58.0,29.97181678,-90.05734417,216.0,6738.0,78158.0
2221 St Claude,4320,USC00166675,0.16,5.0,58.0,29.97007436,-90.05630626,431.0,13457.0,156099.0
5227 Chartres St,7426,US1LAOR0019,0.26,8.0,94.0,29.9583402,-90.02192006,1203.0,37011.0,434881.0
5400 Douglas St.,4800,US1LAOR0019,0.26,8.0,94.0,29.95689048,-90.0201284,778.0,23923.0,281098.0
